Date;AS_banks;AS_resources;AS_chemicals;AS_construction;AS_financials;AS_food;AS_health;AS_industrial;AS_insurance;AS_media;AS_energy;AS_personal;AS_retail;AS_tech;AS_telecom;AS_travel;AS_utilities
01/12/2006;112.81;179.82;152.95;82.79;161.66;97.67;246.25;141.26;176.14;441.38;190.95;169.48;132.29;166.81;177.07;125.64;123.96
04/12/2006;112.54;180.64;153.98;82.51;162.71;97.99;244.34;141.2;176.11;436.36;191.66;168.4;132.5;165.96;176.87;124.37;124.61
05/12/2006;111.47;181.73;152.86;81.89;162.73;98.6;242.9;141.46;174.97;438.38;189.75;168.13;132.7;166.72;178.31;124.61;126.97
06/12/2006;112.56;184.25;154.83;82.43;164.93;98.36;247.14;142.73;178.86;439.37;192.19;169.99;133.96;168.54;179.8;125.89;129.31
07/12/2006;112.51;183.04;155.93;82.28;165.07;98.49;248;143.17;180.95;439.96;192.36;171.19;134.46;171.2;178.72;126.12;128.41
08/12/2006;111.64;182.14;155.84;81.56;163.7;98.63;245.78;142.13;178.25;440.15;190.34;170.84;132.88;170.55;177.46;124.75;127.11
11/12/2006;110.93;182.77;155.65;81.16;161.96;98.66;244.76;142.34;173.96;437.98;188.81;170.96;131.06;168.58;179.04;123.78;126.73
12/12/2006;111.58;181.02;154.87;81.54;163.12;99.39;245.72;142.75;176.12;435.17;187;172.25;131.53;169.42;180.36;123.91;127.26
13/12/2006;111.23;181.4;155.28;80.96;162.48;100.01;246.9;142.91;174.62;436.41;187.66;173.03;131.81;170.24;178.53;123.75;126.6
14/12/2006;112.3;182.1;156.02;81.83;163.62;101.02;248.54;143.57;177.6;439.65;188.39;173.31;132.62;172.26;180.36;124.29;127.46
15/12/2006;112.28;182.55;156.23;82.01;164.84;100.9;247.79;143.87;178.09;440.61;191.07;174.85;133.17;172.99;181.29;124.09;127.2
18/12/2006;112.33;182.27;156.46;81.46;164.49;100.66;249.52;144.15;178.11;437.28;190.63;174.2;132.67;173.46;182.83;123.84;128.45
19/12/2006;111.62;180.22;154.39;80.78;161.95;100.45;248.22;142.76;174.1;436.22;189.86;171.76;130.73;171.79;180.28;122.76;128.28
