Date;US_banks;US_resources;US_chemicals;US_construction;US_financials;US_food;US_health;US_industrial;US_insurance;US_media;US_energy;US_personal;US_retail;US_tech;US_telecom;US_travel;US_utilities
01/12/2006;531.51;256.1;259.99;271.99;769.21;240.41;322.01;289.03;486.08;316.38;505.81;371.64;341.27;514.38;173.23;362.24;153.86
04/12/2006;536.06;259.62;262.85;274.15;784.84;242.8;320.41;292.07;489.25;319.4;505.85;375.51;346.37;521.37;174.76;369.05;155.31
05/12/2006;538.57;260.24;263.04;275.31;786.61;245.93;321.54;293.06;492.86;322.15;507.88;375.87;348.7;522;175.35;372.11;155.72
06/12/2006;538.25;258.8;262.82;277.25;788.82;245.59;321.98;292;494.33;321.1;504.69;376.51;349.33;520.11;176.03;372.16;154.85
07/12/2006;537.53;260.12;263.2;276.88;785.25;245;321.05;291.7;493.6;322.18;501.84;376.72;346.13;514.67;175.77;370.88;154.23
08/12/2006;538.4;260.25;263.13;276.34;788.99;245.67;321.91;291.6;494.82;324.57;501.32;375.65;346.4;516.36;176.42;371.04;153.92
11/12/2006;543.53;258.97;263.23;275.68;788.99;245.31;322.15;291.01;496.61;327.5;500.89;375.78;347.04;517.57;177.44;371.63;154.57
12/12/2006;544.09;254.67;261.84;273.74;786.65;246.07;321.97;290.86;498.05;327.8;501.36;374.7;344.95;514.75;178.9;367.58;155.25
13/12/2006;545.23;255.76;261.96;274.97;785.2;245.48;321.45;289.69;497.21;328.14;506.77;374.1;346.89;515;178.64;369.67;155.83
14/12/2006;548.96;257.01;264.56;276.76;790.61;245.71;323.28;292.46;500.68;329.78;515.14;375.42;352.29;520.84;178.85;371.69;156.14
15/12/2006;551.92;255.75;267.04;274.41;790.43;245.92;324.41;294.38;500.9;329.46;507.74;376.58;351.12;521.43;179.5;368.54;155.73
18/12/2006;555.54;251.37;265.79;273.22;791.37;245.45;324.54;295.1;501.91;330.21;493.98;376.24;349.61;518.17;178.93;369.84;154.58
19/12/2006;555.22;253.59;267.29;274.04;788.81;245.64;326.39;295.6;501.93;331.35;501.14;377.28;348.14;516.66;177.77;371.99;155.39
20/12/2006;556.62;250.4;269.33;274.44;792.54;245.33;326.39;296.05;502.36;330.44;495.92;377.51;346.43;516.74;177.76;372.28;154.83
21/12/2006;555.14;245.92;266.21;272.98;787.05;245.83;325.91;294.71;500.95;329.98;493.29;376.52;345.33;512.98;178.19;371.28;154.39
22/12/2006;553;244.56;264.49;271.83;782.58;244.91;323.98;292.69;499.72;329.1;489.51;374.53;345.35;508.67;177.43;369.2;154.03
25/12/2006;553;244.56;264.49;271.83;782.58;244.91;323.98;292.69;499.72;329.1;489.51;374.53;345.35;508.67;177.43;369.2;154.03
26/12/2006;553;244.56;264.49;271.83;782.58;244.91;323.98;292.69;499.72;329.1;489.51;374.53;345.35;508.67;177.43;369.2;154.03
27/12/2006;560.84;250.44;269.32;277.59;794.57;245.77;326.02;295.83;504.33;331.84;495.11;378.22;347.45;514.92;179.91;373.78;155.24
28/12/2006;559.29;250.68;268.4;277.69;793.66;246.01;326.22;294.86;503.24;331.24;496.48;378.83;346.62;513.84;180.64;373.82;154.7
29/12/2006;555.47;249.48;266.41;276.02;790.58;244.39;325.26;293.24;500.92;329.43;492.17;377.31;345.93;512.88;181.02;371.39;154.44
01/01/2007;555.47;249.48;266.41;276.02;790.58;244.39;325.26;293.24;500.92;329.43;492.17;377.31;345.93;512.88;181.02;371.39;154.44
02/01/2007;555.31;249.58;267.09;276.02;790.49;244.39;325.26;293.26;500.87;329.46;492.03;377.31;345.95;512.95;181.01;371.43;154.42
03/01/2007;554.88;242.25;267.51;273.36;793.96;245.02;325.37;294.76;502.7;330.4;473.39;379.11;348.98;514.51;180.1;373.5;155.01
04/01/2007;554.78;239.13;264.5;271.4;792.4;244.58;328.96;294.26;500.02;331.81;462.83;380.41;350.5;523.68;179.72;372.31;154.55
05/01/2007;549.92;237.04;262.7;268.46;785.83;243.31;327.32;292.4;495.57;329.93;466.26;377.65;347.15;520.76;177.14;370.07;151.71
08/01/2007;550.87;238.72;262.17;267.89;791.37;244.32;327.84;293.69;496.36;331.63;467.03;378.79;346.49;522.82;176.87;372.02;151.48
09/01/2007;549.27;237.27;261.77;268.65;792.79;244.51;327.47;293.85;494.96;332.24;461.63;379.12;348.41;525.07;174.87;374;151.71
10/01/2007;548.61;240.11;262.11;270;798.99;245.59;327.7;294.39;495.79;334.88;454.3;382.52;349.67;529.55;175.46;378.36;152.11
11/01/2007;548.76;242.61;265.74;273.86;808.58;247.36;331.53;296.95;497.99;338.29;450.88;384.38;354.03;533.91;177.2;383.92;152.05
12/01/2007;549.99;246.43;269.54;274.82;812.57;246.47;332.67;297.94;499.09;339.66;463.32;383.99;356.05;536.69;177.98;383.45;151.01
